﻿Turnier;Saison;Liga;Runde;Brett;Team_Weiss;Weiss;Elo_Weiss;Team_Schwarz;Schwarz;Elo_Schwarz;Ergebnis
BMM;2025/26;Bereichsliga Süd 3;1;1;SC Heitersheim 2;Prof. Wiedemann, Harald;1860;SG Schopfheim 1;Schleith, Stefan;1894;"=""0 - 2"""
BMM;2025/26;Bereichsliga Süd 3;1;2;SG Schopfheim 1;Steen, Matthias;1855;SC Heitersheim 2;Gkegkas, Viktor;1815;"=""2 - 0"""
BMM;2025/26;Bereichsliga Süd 3;1;3;SC Heitersheim 2;Dr. Spitzer, Martin;1796;SG Schopfheim 1;Bauer, Stefan;1753;"=""2 - 0"""
BMM;2025/26;Bereichsliga Süd 3;1;4;SG Schopfheim 1;Bernwallner, Stefan;1738;SC Heitersheim 2;Vilain, Philip;1733;"=""0 - 2"""
BMM;2025/26;Bereichsliga Süd 3;1;5;SC Heitersheim 2;Prill, Gerhard;1735;SG Schopfheim 1;Berger, Roland;1694;"=""1 - 1"""
BMM;2025/26;Bereichsliga Süd 3;1;6;SG Schopfheim 1;Gsell, Richard;1580;SC Heitersheim 2;Puchta, Dieter;1862;"=""0 - 2"""
BMM;2025/26;Bereichsliga Süd 3;1;7;SC Heitersheim 2;Kösem, Akin;1355;SG Schopfheim 1;Burkhard, Peter;1113;"=""1 - 1"""
BMM;2025/26;Bereichsliga Süd 3;1;8;SG Schopfheim 1;Bähr, Wolfgang;1484;SC Heitersheim 2;;;"=""6 - 4"""
BMM;2025/26;Bereichsliga Süd 3;1;1;SC Brombach 4;Kellner, Ingo Johann;1434;SC Sölden 1;Dr. Bath, Peter;1843;"=""0 - 2"""
BMM;2025/26;Bereichsliga Süd 3;1;2;SC Sölden 1;Trifonov, Vladimir;1402;SC Brombach 4;Loui, Henning;1262;"=""0 - 2"""
BMM;2025/26;Bereichsliga Süd 3;1;3;SC Brombach 4;Pross, Bernd;1370;SC Sölden 1;Backhaus, Eric;1515;"=""2 - 0"""
BMM;2025/26;Bereichsliga Süd 3;1;4;SC Sölden 1;Yazvytskyi, Jurii;1428;SC Brombach 4;Hoppe, Tobias;;"=""2 - 0"""
BMM;2025/26;Bereichsliga Süd 3;1;5;SC Brombach 4;Koch, Benjamin;1300;SC Sölden 1;Dr. Bernauer, Bernhard;1460;"=""2 - 0"""
BMM;2025/26;Bereichsliga Süd 3;1;6;SC Sölden 1;Drömer, Uwe;1162;SC Brombach 4;Pikhur, Maksym;;"=""2 - 0"""
