﻿Turnier;Saison;Liga;Runde;Heimteam;Gastteam;MP_Heim;MP_Gast;EP_Heim;EP_Gast
BMM;2025/26;Bereichsliga Süd 3;1;SG Schopfheim 1;SC Heitersheim 2;1;1;4.0;4.0
BMM;2025/26;Bereichsliga Süd 3;1;SC Sölden 1;SC Brombach 4;1;1;4.0;4.0
BMM;2025/26;Bereichsliga Süd 3;1;Schw. Pumpe Freiburg 1;SK Freiburg West 2;1;1;4.0;4.0
BMM;2025/26;Bereichsliga Süd 3;1;SC Dreiländereck 2;SC Umkirch 1;0;2;2.5;5.5
BMM;2025/26;Bereichsliga Süd 3;1;SK Rheinfelden 1;SK Ebringen 2;1;1;4.0;4.0
BMM;2025/26;Bereichsliga Süd 3;2;SC Heitersheim 2;SK Ebringen 2;2;0;6.0;2.0
BMM;2025/26;Bereichsliga Süd 3;2;SC Umkirch 1;SK Rheinfelden 1;2;0;5.5;2.5
BMM;2025/26;Bereichsliga Süd 3;2;SK Freiburg West 2;SC Dreiländereck 2;0;2;3.5;4.5
BMM;2025/26;Bereichsliga Süd 3;2;SC Brombach 4;Schw. Pumpe Freiburg 1;2;0;4.5;3.5
BMM;2025/26;Bereichsliga Süd 3;2;SG Schopfheim 1;SC Sölden 1;2;0;8.0;0.0
BMM;2025/26;Bereichsliga Süd 3;3;SC Sölden 1;SC Heitersheim 2;1;1;4.0;4.0
BMM;2025/26;Bereichsliga Süd 3;3;Schw. Pumpe Freiburg 1;SG Schopfheim 1;2;0;5.5;2.5
BMM;2025/26;Bereichsliga Süd 3;3;SC Dreiländereck 2;SC Brombach 4;2;0;5.0;3.0
BMM;2025/26;Bereichsliga Süd 3;3;SK Rheinfelden 1;SK Freiburg West 2;0;2;3.5;4.5
BMM;2025/26;Bereichsliga Süd 3;3;SK Ebringen 2;SC Umkirch 1;0;2;3.5;4.5
BMM;2025/26;Bereichsliga Süd 3;4;SC Heitersheim 2;SC Umkirch 1;0;2;3.5;4.5
BMM;2025/26;Bereichsliga Süd 3;4;SK Freiburg West 2;SK Ebringen 2;2;0;4.5;3.5
BMM;2025/26;Bereichsliga Süd 3;4;SC Brombach 4;SK Rheinfelden 1;2;0;4.5;3.5
