Team;Liga;Saison;Jahr;Runden;Jahre;Rundennummern
Rhy 1;SGM;05/06;2006;7;2006,2006,2006,2006,2006,2006,2006;1,2,3,4,5,6,7
Rhy 2;SGM;05/06;2006;7;2006,2006,2006,2006,2006,2006,2006;1,2,3,4,5,6,7
Rhy 1;SMM;06;2006;5;2006,2006,2006,2006,2006;1,2,3,4,5
Rhy 1;SGM;06/07;2007;7;2006,2007,2007,2007,2007,2007,2007;1,2,3,4,5,6,7
Rhy 2;SGM;06/07;2007;7;2006,2007,2007,2007,2007,2007,2007;1,2,3,4,5,6,7
Rhy 1;SMM;07;2007;7;2007,2007,2007,2007,2007,2007,2007;1,2,3,4,5,6,7
Rhy 1;SGM;07/08;2008;7;2007,2007,2007,2008,2008,2008,2008;1,2,3,4,5,6,7
Rhy 2;SGM;07/08;2008;7;2007,2007,2007,2008,2008,2008,2008;1,2,3,4,5,6,7
Rhy 1;SMM;08;2008;7;2008,2008,2008,2008,2008,2008,2008;1,2,3,4,5,6,7
Rhy 1;SGM;08/09;2009;7;2008,2008,2008,2009,2009,2009,2009;1,2,3,4,5,6,7
Rhy 2;SGM;08/09;2009;7;2008,2008,2008,2009,2009,2009,2009;1,2,3,4,5,6,7
Rhy 1;SMM;09;2009;7;2009,2009,2009,2009,2009,2009,2009;1,2,3,4,5,6,7
Rhy 1;SGM;09/10;2010;7;2009,2009,2009,2010,2010,2010,2010;1,2,3,4,5,6,7
Rhy 2;SGM;09/10;2010;6;2009,2009,2010,2010,2010,2010;1,2,4,5,6,7
Rhy 1;SMM;10;2010;7;2010,2010,2010,2010,2010,2010,2010;1,2,3,4,5,6,7
Rhy 1;SGM;10/11;2011;5;2010,2011,2011,2011,2011;1,3,4,5,6
Rhy 1;SMM;11;2011;7;2011,2011,2011,2011,2011,2011,2011;1,2,3,4,5,6,7
Rhy 1;SGM;11/12;2012;6;2011,2011,2012,2012,2012,2012;1,2,3,4,5,6
Rhy 2;SGM;11/12;2012;7;2011,2011,2012,2012,2012,2012,2012;1,2,3,4,5,6,7
Rhy 1;SMM;12;2012;6;2012,2012,2012,2012,2012,2012;1,2,4,5,6,7
Rhf 1;BMM;11/12;2012;6;2011,2011,2011,2012,2012,2012;1,2,3,4,5,6
Rhy 1;SGM;12/13;2013;6;2012,2012,2012,2013,2013,2013;1,2,3,5,6,7
Rhf 1;BMM;12/13;2013;5;2012,2012,2012,2013,2013;1,2,3,4,5
Rhy 1;SGM;13/14;2014;7;2013,2013,2013,2014,2014,2014,2014;1,2,3,4,5,6,7
Rhf 1;BMM;13/14;2014;5;2013,2014,2014,2014,2014;1,2,3,4,5
Rhy 1;SGM;14/15;2015;7;2014,2014,2014,2015,2015,2015,2015;1,2,3,4,5,6,7
Rhy 2;SGM;14/15;2015;7;2014,2014,2014,2015,2015,2015,2015;1,2,3,4,5,6,7
Rhf 1;BMM;14/15;2015;5;2014,2014,2014,2015,2015;1,2,3,4,5
Rhy 1;SGM;15/16;2016;7;2015,2015,2016,2016,2016,2016,2016;1,2,3,4,5,6,7
Rhy 2;SGM;15/16;2016;7;2015,2015,2016,2016,2016,2016,2016;1,2,3,4,5,6,7
Rhf 1;BMM;15/16;2016;8;2015,2015,2015,2015,2016,2016,2016,2016;1,2,3,4,5,6,8,9
Rhf 2;BMM;15/16;2016;10;2015,2015,2015,2015,2016,2016,2016,2016,2016,2016;1,1,2,2,3,3,4,4,6,6
Rhy 1;SGM;16/17;2017;6;2016,2016,2017,2017,2017,2017;2,3,4,5,6,7
Rhy 1;SMM;17;2017;6;2017,2017,2017,2017,2017,2017;1,2,3,4,5,6
Rhf 1;BMM;16/17;2017;5;2016,2016,2017,2017,2017;1,2,5,6,8
Rhf 2;BMM;16/17;2017;4;2016,2016,2016,2016;1,1,2,2
Rhy 1;SGM;17/18;2018;7;2017,2017,2018,2018,2018,2018,2018;1,2,3,4,5,6,7
Rhy 1;SMM;18;2018;5;2018,2018,2018,2018,2018;1,2,3,4,5
Rhf 1;BMM;17/18;2018;8;2017,2017,2017,2018,2018,2018,2018,2018;1,2,3,4,5,7,8,9
Rhf 2;BMM;17/18;2018;4;2018,2018,2018,2018;3,3,4,4
Rhy 1;SGM;18/19;2019;7;2018,2018,2018,2019,2019,2019,2019;1,2,3,4,5,6,7
Rhy 2;SGM;18/19;2019;6;2018,2018,2018,2019,2019,2019;1,2,3,4,5,6
Rhy 1;SMM;19;2019;6;2019,2019,2019,2019,2019,2019;1,2,3,4,5,6
Rhf 1;BMM;18/19;2019;8;2018,2018,2018,2019,2019,2019,2019,2019;1,2,3,5,6,7,8,9
Rhf 2;BMM;18/19;2019;2;2018,2018;2,2
Rhy 1;SGM;19/20;2020;6;2019,2019,2019,2020,2020,2020;1,2,3,4,5,6
Rhy 2;SGM;19/20;2020;6;2019,2019,2019,2020,2020,2020;1,2,3,4,5,6
Rhf 1;BMM;19/20;2020;6;2019,2019,2020,2020,2020,2020;1,2,3,4,5,6
Rhy 1;SMM;21;2021;5;2021,2021,2021,2021,2021;1,2,3,4,5
Rhy 2;SMM;21;2021;7;2021,2021,2021,2021,2021,2021,2021;1,2,3,4,5,6,7
Rhy 1;SGM;21/22;2022;5;2022,2022,2022,2022,2022;2,3,4,5,6
Rhy 2;SGM;21/22;2022;6;2022,2022,2022,2022,2022,2022;1,2,3,4,6,7
Rhy 1;SMM;22;2022;7;2022,2022,2022,2022,2022,2022,2022;1,2,3,4,5,6,7
Rhy 2;SMM;22;2022;6;2022,2022,2022,2022,2022,2022;1,2,3,4,5,6
Rhf 1;BMM;21/22;2022;2;2022,2022;5,6
Rhy 1;SGM;22/23;2023;6;2022,2023,2023,2023,2023,2023;1,2,4,5,6,7
Rhy 2;SGM;22/23;2023;7;2022,2023,2023,2023,2023,2023,2023;1,2,3,4,5,6,7
Rhy 1;SMM;23;2023;4;2023,2023,2023,2023;1,2,3,6
Rhy 2;SMM;23;2023;5;2023,2023,2023,2023,2023;1,2,3,4,5
Rhf 1;BMM;22/23;2023;8;2022,2022,2022,2023,2023,2023,2023,2023;2,3,4,5,6,7,8,9
Rhy 1;SGM;23/24;2024;7;2023,2023,2023,2024,2024,2024,2024;1,2,3,4,5,6,7
Rhy 2;SGM;23/24;2024;7;2023,2023,2023,2024,2024,2024,2024;1,2,3,4,5,6,7
Rhy 1;SMM;24;2024;6;2024,2024,2024,2024,2024,2024;1,2,3,4,5,7
Rhy 2;SMM;24;2024;6;2024,2024,2024,2024,2024,2024;1,2,3,4,5,6
Rhf 1;BMM;23/24;2024;9;2023,2023,2023,2023,2024,2024,2024,2024,2024;1,2,3,4,5,6,7,8,9
Rhf 2;BMM;23/24;2024;8;2023,2023,2023,2023,2024,2024,2024,2024;1,2,3,4,5,6,7,9
Rhy 1;SGM;24/25;2025;7;2024,2024,2024,2025,2025,2025,2025;1,2,3,4,5,6,7
Rhy 2;SGM;24/25;2025;6;2024,2024,2025,2025,2025,2025;2,3,4,5,6,7
Rhy 1;SMM;25;2025;7;2025,2025,2025,2025,2025,2025,2025;1,2,3,4,5,6,7
Rhy 2;SMM;25;2025;7;2025,2025,2025,2025,2025,2025,2025;1,2,3,4,5,6,7
Rhf 1;BMM;24/25;2025;8;2024,2024,2024,2025,2025,2025,2025,2025;1,2,4,5,6,7,8,9
Rhf 2;BMM;24/25;2025;8;2024,2024,2024,2025,2025,2025,2025,2025;1,2,3,4,5,7,8,9
Rhy 1;SGM;25/26;2026;7;2025,2025,2025,2026,2026,2026,2026;1,2,3,4,5,6,7
Rhy 2;SGM;25/26;2026;7;2025,2025,2025,2026,2026,2026,2026;1,2,3,4,5,6,7
Rhy 1;SMM;26;2026;6;2026,2026,2026,2026,2026,2026;2,3,4,5,6,7
Rhy 2;SMM;26;2026;7;2026,2026,2026,2026,2026,2026,2026;1,2,3,4,5,6,7
Rhf 1;BMM;25/26;2026;9;2025,2025,2025,2026,2026,2026,2026,2026,2026;1,2,3,4,5,6,7,8,9
Rhf 2;BMM;25/26;2026;9;2025,2025,2025,2026,2026,2026,2026,2026,2026;1,2,3,4,5,6,7,8,9
