Turnier;Saison;Liga;Runde;Brett;Team_Weiss;Weiss;Elo_Weiss;Team_Schwarz;Schwarz;Elo_Schwarz;Ergebnis
SMM;2025;3. Liga - Nordwest 2;1;1;Riehen 5;Poyraz Canatar;1338;Birseck 3;Claude Monnat;1727;1 - 1
SMM;2025;3. Liga - Nordwest 2;1;2;Birseck 3;Peter Mattmann;1743;Riehen 5;Beat Spielmann;1766;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;3;Riehen 5;Uwe Hecht;1776;Birseck 3;Nikita Cardinaux;1704;1 - 1
SMM;2025;3. Liga - Nordwest 2;1;4;Birseck 3;Richard Valentin Winkler;1200;Riehen 5;Dario Wachholz;1531;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;5;Riehen 5;Felix Li;1200;Birseck 3;Stephan Bonauer;1473;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;6;Birseck 3;Miroslav Matkovic;1543;Riehen 5;Sophie Anis;1200;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;1;Rhy 1;Janis Steinacher;1937;Rhy 2;Roland Fuchs;1450;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;2;Rhy 2;Beat Hartmann;1686;Rhy 1;Az Damdinsuren;1886;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;3;Rhy 1;;;Rhy 2;Gustavo Barros;1643;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;4;Rhy 2;;;Rhy 1;Rolf Haag;1592;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;5;Rhy 1;Sandro Bolettieri;1621;Rhy 2;;;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;6;Rhy 2;Platon Klimov;;Rhy 1;Robert Kaiser;1582;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;1;Olten 3;Olexiy Musienko;1808;Olten 5;Otmar Wigger;1544;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;2;Olten 5;Martin Spiegel;1480;Olten 3;Walter Stegmaier;2006;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;3;Olten 3;Paul Niederer;1800;Olten 5;;;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;4;Olten 5;René Steiner;1729;Olten 3;Alessio Porreca;1981;1 - 1
SMM;2025;3. Liga - Nordwest 2;1;5;Olten 3;Guido Born;1708;Olten 5;André Aepli;1364;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;6;Olten 5;Anton Rüegg;1249;Olten 3;Urs Fazis;1523;0 - 2
SMM;2025;3. Liga - Nordwest 2;1;1;Döttingen-Klingnau 1;Ritish Kannan;1350;Echiquier Bruntrutain 2;Erwan Bourquard;1442;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;2;Echiquier Bruntrutain 2;Youri Cortat;1865;Döttingen-Klingnau 1;Refki Morina;1664;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;3;Döttingen-Klingnau 1;Kevin Mutter;1350;Echiquier Bruntrutain 2;Cédric Desboeufs;1781;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;4;Echiquier Bruntrutain 2;Alexandre Desboeufs;1872;Döttingen-Klingnau 1;Balint Kiss;1692;2 - 0
SMM;2025;3. Liga - Nordwest 2;1;5;Döttingen-Klingnau 1;Patrice Keusch;1448;Echiquier Bruntrutain 2;Alec Schneider;1450;0 - 2
